USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	POP	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AL	0100124	02403054	Abbeville city	25	A	2349	40255362	107642	15.543	0.042	31.564724	-85.259123
AL	0100460	02403063	Adamsville city	25	A	4381	67895675	540470	26.215	0.209	33.602315	-86.971527
AL	0100484	02405123	Addison town	43	A	659	9753293	83417	3.766	0.032	34.202681	-87.178004
AL	0100676	02405125	Akron town	43	A	228	1776165	13849	0.686	0.005	32.879066	-87.740899
AL	0100820	02403069	Alabaster city	25	A	33401	65472841	813078	25.279	0.314	33.244399	-86.847372
AL	0100988	02403074	Albertville city	25	A	22420	69770754	258708	26.939	0.1	34.26313	-86.21066
AL	0101132	02403077	Alexander City city	25	A	14831	113186307	751905	43.701	0.29	32.92724	-85.937122
AL	0101228	02403080	Aliceville city	25	A	2165	11835209	0	4.57	0.	33.123706	-88.159344
AL	0101396	02405136	Allgood town	43	A	541	2690288	1452	1.039	0.001	33.907623	-86.516109
AL	0101660	02405146	Altoona town	43	A	954	11603404	25442	4.48	0.01	34.040014	-86.305179
AL	0101708	02403097	Andalusia city	25	A	8842	50911852	405912	19.657	0.157	31.309436	-86.478031
AL	0101756	02405149	Anderson town	43	A	253	3347216	1520	1.292	0.001	34.915675	-87.274274
AL	0101852	02403101	Anniston city	25	A	21520	118685613	180468	45.825	0.07	33.673469	-85.810891
AL	0102116	02403104	Arab city	25	A	8444	34499247	344544	13.32	0.133	34.332387	-86.501167
AL	0102260	02405163	Ardmore town	43	A	1334	5289895	21830	2.042	0.008	34.987838	-86.829022
AL	0102320	02405164	Argo town	43	A	4395	27573117	146963	10.646	0.057	33.691018	-86.505281
AL	0102428	02405166	Ariton town	43	A	656	13182489	0	5.09	0.	31.597772	-85.713061
AL	0102500	02405167	Arley town	43	A	326	9740146	33989	3.761	0.013	34.076234	-87.217831
AL	0102836	02405172	Ashford town	43	A	2255	16064130	56699	6.202	0.022	31.185284	-85.236236
AL	0102860	02405173	Ashland town	43	A	1981	19025387	85046	7.346	0.033	33.269892	-85.833706
AL	0102908	02403122	Ashville city	25	A	2354	49762931	487106	19.214	0.188	33.835197	-86.270015
AL	0102956	02403123	Athens city	25	A	25733	104473221	683500	40.337	0.264	34.779021	-86.950799
AL	0103004	02403129	Atmore city	25	A	8375	56622375	194415	21.862	0.075	31.124067	-87.457798
AL	0103028	02403130	Attalla city	25	A	5829	18126813	0	6.999	0.	33.986189	-86.121037
AL	0103076	02403132	Auburn city	25	A	77066	157084761	2663622	60.651	1.028	32.607722	-85.489545
AL	0103220	02405187	Autaugaville town	43	A	787	20286746	530328	7.833	0.205	32.432563	-86.658752
AL	0103364	02405191	Avon town	43	A	466	6120731	16998	2.363	0.007	31.179727	-85.279211
AL	0103556	02405195	Babbie town	43	A	629	29709390	302262	11.471	0.117	31.302083	-86.319437
AL	0103676	02405198	Baileyton town	43	A	653	13611429	155195	5.255	0.06	34.260858	-86.608788
AL	0103724	02405200	Bakerhill town	43	A	215	7126271	0	2.751	0.	31.776923	-85.295408
AL	0103940	02405206	Banks town	43	A	155	5145554	0	1.987	0.	31.813264	-85.836434
AL	0104660	02403825	Bay Minette city	25	A	8120	44707878	198121	17.262	0.076	30.894436	-87.791306
AL	0104684	02403828	Bayou La Batre city	25	A	2178	19398410	369464	7.49	0.143	30.407586	-88.263271
AL	0104852	02405219	Bear Creek town	43	A	1038	35295458	345560	13.628	0.133	34.255481	-87.713399
AL	0104900	02405221	Beatrice town	43	A	204	3503547	0	1.353	0.	31.733309	-87.209046
AL	0104948	02405225	Beaverton town	43	A	185	11882782	0	4.588	0.	33.935411	-88.021778
AL	0105164	02405230	Belk town	43	A	187	3590249	0	1.386	0.	33.651641	-87.92861
AL	0105692	02405243	Benton town	43	A	41	781978	89459	0.302	0.035	32.307931	-86.817546
AL	0105812	02797102	Berlin town	43	A	504	3084543	11362	1.191	0.004	34.195396	-86.743618
AL	0105932	02405250	Berry town	43	A	1211	27884732	15029	10.766	0.006	33.666702	-87.609311
AL	0105980	02403864	Bessemer city	25	A	26018	104450667	540465	40.329	0.209	33.370858	-86.971522
AL	0106460	02405265	Billingsley town	43	A	129	3041964	3909	1.175	0.002	32.664711	-86.706713
AL	0107000	02403868	Birmingham city	25	A	200270	380801025	6532732	147.028	2.522	33.527174	-86.797036
AL	0107120	02405270	Black town	43	A	226	10498683	18883	4.054	0.007	31.00977	-85.74442
AL	0107456	02405280	Blountsville town	43	A	1827	14039367	179778	5.421	0.069	34.075838	-86.583918
AL	0107672	02405286	Blue Springs town	43	A	83	7500883	0	2.896	0.	31.663516	-85.503526
AL	0107912	02403886	Boaz city	25	A	10112	37683442	161880	14.55	0.063	34.19902	-86.155151
AL	0108104	02405297	Boligee town	43	A	298	10233610	36323	3.951	0.014	32.768081	-88.02859
AL	0108248	02405301	Bon Air town	43	A	171	3436489	15386	1.327	0.006	33.25937	-86.327148
AL	0109016	02405315	Brantley town	43	A	822	8047471	130826	3.107	0.051	31.581992	-86.256784
AL	0109136	02403918	Brent city	25	A	4089	22794285	77911	8.801	0.03	32.944893	-87.172088
AL	0109208	02403921	Brewton city	25	A	5254	29257480	612453	11.296	0.236	31.109175	-87.076583
AL	0109328	02403924	Bridgeport city	25	A	2262	11210021	334212	4.328	0.129	34.949312	-85.723765
AL	0109400	02403925	Brighton city	25	A	2331	3664075	0	1.415	0.	33.439551	-86.945404
AL	0109424	02405321	Brilliant town	43	A	835	27431774	0	10.591	0.	34.025671	-87.769047
AL	0109736	02405331	Brookside town	43	A	1243	16350025	27676	6.313	0.011	33.634617	-86.906314
AL	0109808	02405333	Brookwood town	43	A	2500	21679664	234011	8.371	0.09	33.239842	-87.331488
AL	0110240	02403943	Brundidge city	25	A	2067	25241183	83770	9.746	0.032	31.717639	-85.81755
AL	0111032	02405351	Butler town	43	A	1860	17484933	0	6.751	0.	32.096479	-88.210781
AL	0111416	02403965	Calera city	25	A	16626	62699913	677385	24.209	0.262	33.122319	-86.745644
AL	0111512	02403975	Camden city	25	A	1848	10836796	34892	4.184	0.013	31.998493	-87.28895
AL	0111680	02405370	Camp Hill town	43	A	1002	23283989	256573	8.99	0.099	32.797327	-85.655833
AL	0112016	02403992	Carbon Hill city	25	A	1757	14272318	194614	5.511	0.075	33.894991	-87.522078
AL	0112040	02405377	Cardiff town	43	A	57	541113	0	0.209	0.	33.64729	-86.930637
AL	0112160	02405380	Carolina town	43	A	285	2871453	20504	1.109	0.008	31.23415	-86.521001
AL	0112304	02405384	Carrollton town	43	A	1016	5331435	59271	2.058	0.023	33.261903	-88.095071
AL	0112496	02406236	Castleberry town	43	A	485	4432153	48012	1.711	0.019	31.299678	-87.029129
AL	0112760	02406240	Cedar Bluff town	43	A	1835	12455267	37623	4.809	0.015	34.221422	-85.588565
AL	0113264	02404020	Center Point city	25	A	16322	16096567	21221	6.215	0.008	33.643903	-86.684567
AL	0113648	02404025	Centre city	25	A	3605	30310951	141022	11.703	0.054	34.153059	-85.671683
AL	0113672	02404026	Centreville city	25	A	2788	24478646	377665	9.451	0.146	32.958967	-87.132043
AL	0114008	02406259	Chatom town	43	A	1095	27770887	0	10.722	0.	31.469145	-88.246019
AL	0114104	02404037	Chelsea city	25	A	15238	61597009	1076296	23.783	0.416	33.326887	-86.629519
AL	0114152	02406262	Cherokee town	43	A	972	5740572	704	2.216	0.	34.7577	-87.965589
AL	0114392	02404045	Chickasaw city	25	A	6455	10894954	908483	4.207	0.351	30.77145	-88.079697
AL	0114464	02404048	Childersburg city	25	A	4740	31936893	652345	12.331	0.252	33.292549	-86.340844
AL	0115064	02404051	Citronelle city	25	A	3930	66939276	714184	25.845	0.276	31.097269	-88.249843
AL	0115136	02404052	Clanton city	25	A	8754	59826871	357611	23.099	0.138	32.845572	-86.619494
AL	0115256	02404063	Clay city	25	A	10318	28567523	165786	11.03	0.064	33.696583	-86.608182
AL	0115304	02406273	Clayhatchee town	43	A	470	7039405	0	2.718	0.	31.236925	-85.721478
AL	0115376	02406274	Clayton town	43	A	2263	17550105	0	6.776	0.	31.882277	-85.460454
AL	0115472	02406278	Cleveland town	43	A	1248	20332689	88040	7.85	0.034	34.002179	-86.561352
AL	0115640	02404082	Clio city	25	A	1217	26070326	23254	10.066	0.009	31.708516	-85.611039
AL	0116000	02406286	Coaling town	43	A	2035	12983177	178716	5.013	0.069	33.169901	-87.349887
AL	0116240	02406288	Coffee Springs town	43	A	206	2030176	29256	0.784	0.011	31.165836	-85.910898
AL	0116264	02406289	Coffeeville town	43	A	259	11706601	0	4.52	0.	31.766564	-88.086049
AL	0116312	02406291	Coker town	43	A	902	5050443	23040	1.95	0.009	33.243752	-87.681329
AL	0116600	02406296	Collinsville town	43	A	2066	8663200	161559	3.345	0.062	34.267224	-85.86861
AL	0116684	02406297	Colony town	43	A	265	5603479	24170	2.164	0.009	33.941393	-86.902001
AL	0116744	02406298	Columbia town	43	A	694	10181708	170212	3.931	0.066	31.295351	-85.110202
AL	0116768	02404109	Columbiana city	25	A	4532	44811634	261034	17.302	0.101	33.191452	-86.615618
AL	0117176	02406310	Coosada town	43	A	1220	17855611	620670	6.894	0.24	32.495394	-86.326543
AL	0117368	02404130	Cordova city	25	A	1727	15103140	292389	5.831	0.113	33.761788	-87.199416
AL	0117824	02406321	Cottonwood town	43	A	1055	14974557	58453	5.782	0.023	31.054033	-85.29956
AL	0117968	02406322	County Line town	43	A	318	2475799	0	0.956	0.	33.820724	-86.719467
AL	0118040	02406323	Courtland town	43	A	584	7646445	64056	2.952	0.025	34.669946	-87.327892
AL	0118088	02406329	Cowarts town	43	A	1936	19823700	165559	7.654	0.064	31.206248	-85.309769
AL	0118304	02404149	Creola city	25	A	1934	40615427	2516364	15.682	0.972	30.874249	-88.009536
AL	0118856	02406341	Crossville town	43	A	1828	21659874	1995	8.363	0.001	34.282697	-85.999737
AL	0118952	02406344	Cuba town	43	A	303	10520906	18721	4.062	0.007	32.440733	-88.374798
AL	0118976	02404166	Cullman city	25	A	18461	56011012	3446745	21.626	1.331	34.17687	-86.840656
AL	0119216	02424934	Cusseta town	43	A	151	6798968	0	2.625	0.	32.787637	-85.305769
AL	0119336	02404175	Dadeville city	25	A	3079	41287399	219837	15.941	0.085	32.826114	-85.776201
AL	0119360	02404178	Daleville city	25	A	4859	36631440	0	14.143	0.	31.291533	-85.711711
AL	0119648	02404186	Daphne city	25	A	27694	49212741	306666	19.001	0.118	30.627702	-87.883992
AL	0119744	02406357	Dauphin Island town	43	A	1783	16204179	413605156	6.256	159.694	30.250913	-88.171268
